,date,expName,psychopyVersion,OS,frameRate,idm_task,item,cdd_trial_type,cdd_conf_resp.keys,cdd_conf_resp.rt,cdd_immed_amt,cdd_immed_wait,cdd_delay_amt,cdd_delay_wait,cdd_choice,cdd_choice2,cdd_trial_resp.keys,cdd_trial_resp.corr,cdd_trial_resp.rt,cdd_delta_time,cdd_iti_time,cdd_trials1.thisTrialN,cdd_trials1.thisIndex,cdd_catch_trial,cdd_bonus_choice,cdd_bonus_amount,cdd_bonus_delay
1018,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,74.0,task,4.0,0.3503,2.0,0.0,64.0,9.0,1.0,delay,1.0,0.0,0.1184,1.8816,3.749870097,75.0,73.0,0.0,,,
1019,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,18.0,task,4.0,0.5988,15.0,0.0,36.0,29.0,1.0,delay,1.0,0.0,0.0425,1.9575,3.409213838,76.0,17.0,0.0,,,
1020,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,56.0,task,4.0,0.3912,5.0,0.0,45.0,90.0,0.0,immed,2.0,1.0,0.0424,1.9576,2.63120704,77.0,55.0,0.0,,,
1021,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,20.0,task,4.0,0.3136,15.0,0.0,54.0,60.0,1.0,delay,2.0,0.0,0.0432,1.9568,3.32153485,78.0,19.0,0.0,,,
1022,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,41.0,task,4.0,0.3507,5.0,0.0,44.0,10.0,1.0,delay,2.0,0.0,0.082,1.918,1.949613909,79.0,40.0,0.0,,,
1023,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,7.0,task,4.0,0.353,15.0,0.0,24.0,59.0,0.0,immed,2.0,1.0,0.1152,1.8848,3.478823448,80.0,6.0,0.0,,,
1024,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,24.0,task,4.0,0.3135,15.0,0.0,56.0,5.0,1.0,delay,1.0,0.0,0.0805,1.9195,3.125456511,81.0,23.0,0.0,,,
1025,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,91.0,task,4.0,0.5846,2.0,0.0,11.0,151.0,0.0,immed,1.0,1.0,0.0433,1.9567,3.97008577,82.0,90.0,0.0,,,
1026,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,79.0,task,4.0,0.349,2.0,0.0,65.0,29.0,1.0,delay,1.0,0.0,0.0444,1.9556,2.00658397,83.0,78.0,0.0,,,
1027,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,31.0,task,4.0,0.4281,15.0,0.0,15.0,151.0,0.0,immed,2.0,1.0,0.045,1.955,2.479399843,84.0,30.0,1.0,,,
